subject,startedBy,views,replies,lastPostBy,lastPostDate
Novel Index Thread,alfnheim,"245,090",6,Azura Ren,"January 14, 2020, 06:11:40 pm"
Complain Section [Double Post will Result in deletion and timeout from posting],deadline14,"19,114",33,Kureha,"July 20, 2019, 08:30:29 pm"
"Rules for Bannable Offense and other Information [May 6, 2018]",deadline14,"11,808",10,kofkof,"January 16, 2019, 05:10:35 am"
[KR][PDF][Eng] The Second Coming of Gluttony,traitorAIZEN,"20,805",44,traitorAIZEN,"April 23, 2020, 03:21:16 pm"
[KR][PDF][English] God of Cooking,sininenblue,"1,642",5,traitorAIZEN,"April 23, 2020, 03:20:45 pm"
[WN][PDF][Eng] Slow Life Frontier,traitorAIZEN,"7,727",9,KuTa,"April 16, 2020, 02:58:04 pm"
[LN] The Holy Knight’s Dark Road,Jayanth555,"2,736",5,seira00100,"April 16, 2020, 02:03:10 pm"
[LN] Buck Naked in Another World,Jayanth555,286,1,OmegaLKSG,
[LN][ENG] Beatless,shadow69,786,2,Jayanth555,
[WN][PDF][Eng] The First Order,traitorAIZEN,"2,047",3,traitorAIZEN,"April 23, 2020, 03:20:31 pm"
[LN] Kawaii Onnanoko ni Kouryaku Sareru no Wa Suki desu ka,Jayanth555,"2,262",2,seira00100,"April 16, 2020, 01:53:22 pm"
[LN][Eng] The Girl Raised by the Death God Holds the Sword of Darkness in Her Ar,Kawakigold,"3,440",7,seira00100,"April 16, 2020, 01:47:20 pm"
[KN][PDF][Eng] Overgeared,traitorAIZEN,"27,499",48,traitorAIZEN,"April 16, 2020, 01:00:10 pm"
[LN][ENG] Kobold King,Dark Warrior,"1,723",5,Harana,
[WN][PDF][Eng] Berserk of Gluttony,traitorAIZEN,"34,049",64,RinneZanki,
[LN] Bloom Into You: Regarding Saeki Sayaka,Jayanth555,"1,288",2,Adinia Anggraeni,"April 23, 2020, 10:56:52 am"
[LN][Eng] Mahou Shoujo Ikusei Keikaku ,Go-Sick,"15,149",19,shadow69,"April 23, 2020, 02:22:43 am"
[Light Novel] [English] Toradora!,Go-Sick,"7,862",15,shadow69,"April 23, 2020, 01:54:12 am"
[KR][PDF][Eng] Trash of the Count's Family,traitorAIZEN,"18,587",30,JorgeFFC,"April 16, 2020, 12:21:06 pm"
[Light Novel] [English] Fate/Strange Fake ,Go-Sick,"11,219",7,serenade696969,"April 16, 2020, 06:02:28 am"
[LN][PDF][Eng] Akashic Records of the Bastard Magical Instructor,traitorAIZEN,"32,083",24,Senwei Chen,
[WN][LN][Eng] Hachinantte Sore wa Nai Deshou!,Azura Ren,"12,998",21,Azura Ren,
[WN][PDF][Eng] Instant Death,traitorAIZEN,"9,980",12,traitorAIZEN,
[LN] Isekai Tensei Soudouki,Jayanth555,"4,957",14,Jayanth555,"April 22, 2020, 06:27:44 pm"
[Light Novel] Combatants will be dispatched,Dark Warrior,"8,837",22,traitorAIZEN,"April 22, 2020, 11:03:55 am"
[WN][PDF][Eng] Magi's Grandson,traitorAIZEN,"33,404",33,Willard Bartlett,"April 16, 2020, 01:35:33 am"
[KN][PDF][Eng] The S-Classes That I Raised,traitorAIZEN,"4,408",5,shankstick,"April 15, 2020, 01:14:21 pm"
[KN][PDF][Eng] Isaac,traitorAIZEN,"3,129",10,shankstick,"April 15, 2020, 01:12:25 pm"
[LN][PDF][Eng] The World of Otome Games is Tough For Mobs,traitorAIZEN,"26,843",34,Nezune,"May 09, 2020, 11:34:02 pm"
[Web Novel][ENG][PDF] Maou no Hajimekata,Poots,"8,000",11,Poots,"May 09, 2020, 06:07:01 pm"
[LN][Eng] Ryuuou no Oshigoto!,Azura Ren,"23,503",34,DTSJ,"May 09, 2020, 11:39:56 am"
[CN][PDF][Eng] The Amber Sword,traitorAIZEN,"7,361",21,Siddharth Gupta sidd612gupta,"April 22, 2020, 03:16:19 am"
[LN] Apocalypse Witch: To the Strongests of an Age of Plenty,Jayanth555,"2,464",6,natc,"April 22, 2020, 01:47:18 am"
[KN][PDF][Eng] I am the Monarch,traitorAIZEN,"5,664",7,traitorAIZEN,"April 15, 2020, 01:01:05 pm"
[Web Novel][English] Sairin Yuusha no Fukushuu Hanashi,Go-Sick,"9,462",7,Potato chips,"April 15, 2020, 09:05:31 am"
[WN][PDF][Eng] Clearing an Isekai with the Zero-Believers Goddess,traitorAIZEN,"2,499",3,traitorAIZEN,"April 14, 2020, 12:14:15 am"
[light novel][English] Date A Live ,raiputz,"133,837",178,DTSJ,"May 09, 2020, 08:29:37 am"
[LN] The Economics of Prophecy,Jayanth555,"3,133",10,traitorAIZEN,"May 09, 2020, 08:15:31 am"
[CN][PDF][Eng] Lord of the Mysteries,traitorAIZEN,"6,971",42,traitorAIZEN,"May 09, 2020, 12:53:46 am"
[LN][PDF][Eng] Rain,traitorAIZEN,"6,766",14,ryooo,"April 21, 2020, 10:28:36 pm"
[Light Novel] Overlord,Kureha,"190,247",185,user,"April 21, 2020, 09:12:59 pm"
[LN][English]Adachi to Shimamura,Rugoru,"3,918",6,traitorAIZEN,"April 21, 2020, 02:08:30 pm"
[LN][Eng][PDF] Ecstas Online,KilLaRuNa,"12,068",19,1dragon1,"April 13, 2020, 06:40:58 pm"
[LN/WN][PDF][Eng] Bu ni Mi wo Sasagete Hyaku to Yonen,traitorAIZEN,"9,579",9,Heathen,"April 12, 2020, 06:10:08 am"
"[WN][PDF][Eng] Being Able to Edit Skills in Another World, I Gained OP Waifus",traitorAIZEN,"13,336",21,Heathen,"April 12, 2020, 05:40:07 am"
[KR][PDF][Eng] The Overlord of Blood and Iron,traitorAIZEN,"3,535",5,lackies,"May 08, 2020, 11:18:49 pm"
[LN][WN][PDF][Eng] Arifureta Shokugyou de Sekai Saikyo,traitorAIZEN,"276,357",294,traitorAIZEN,"May 08, 2020, 10:08:24 pm"
[LN][Eng] Jaku-chara Tomozaki-kun,Azura Ren,"11,035",19,traitorAIZEN,"April 21, 2020, 02:08:18 pm"
[LN/WN][PDF] Garbage Brave 【Revenge story of the hero who was been thrown away,traitorAIZEN,"3,134",4,erekshigal,"April 20, 2020, 04:54:31 pm"
[WN][PDF][Eng] Isekai Nonbiri Nouka,traitorAIZEN,"11,496",20,traitorAIZEN,"April 20, 2020, 04:23:47 pm"
[LN][Eng] Beast † Blood,Kawakigold,"2,662",6,Heathen,"April 12, 2020, 05:36:54 am"
[WN][PDF][Eng] Itai no wa Iya nanode Bōgyo-Ryoku ni Kyokufuri Shitai to Omoimasu,traitorAIZEN,"28,185",46,traitorAIZEN,"April 12, 2020, 12:45:26 am"
"[JP][WN][ENG] Demon Lord, Retry!",saca312,"14,805",20,traitorAIZEN,"April 12, 2020, 12:45:15 am"
[KR][PDF][Eng] Moon's Labyrinths,traitorAIZEN,673,1,thenonamezz,"May 08, 2020, 04:09:55 am"
[WN][PDF][Eng] Someday Will I Be The Greatest Alchemist?,traitorAIZEN,632,0,traitorAIZEN,"May 07, 2020, 07:14:47 pm"
[WN][PDF][Eng] The Results From When I Time Leaped to My Second Year of High Sch,traitorAIZEN,"7,216",12,KuTa,"April 20, 2020, 04:33:28 am"
[WN][PDF][Eng] Kujibiki Tokushou: Musou Hāremu ken,traitorAIZEN,"23,382",26,traitorAIZEN,"April 20, 2020, 03:37:00 am"
[LN] By the Grace of the Gods,Jayanth555,"2,164",5,traitorAIZEN,"April 19, 2020, 07:09:21 pm"
[LN][Eng] Her Majesty's Swarm,Kawakigold,"2,608",5,traitorAIZEN,"April 12, 2020, 12:45:04 am"
[KN][PDF][Eng] God of Music,traitorAIZEN,"3,018",11,traitorAIZEN,"April 19, 2020, 07:09:08 pm"
[JP][LN][Eng] The Greatest Magicmaster's Retirement Plan ,Dark Warrior,"9,634",18,traitorAIZEN,"May 07, 2020, 07:14:34 pm"
[LN][Eng] The Isolator,shadow69,"14,608",28,traitorAIZEN,"May 07, 2020, 07:14:24 pm"
[LN][Eng] Youjo Senki,WASDA10,"49,264",66,A. Akfa,"May 07, 2020, 01:01:29 pm"
[WN][LN][PDF][Eng] Tate no Yuusha no Nariagari,traitorAIZEN,"207,916",152,Jonathan Willberforce,"May 07, 2020, 09:13:55 am"
